table_name,column_name
airport,iatacode
airport,name
airport,country
airport,city
airport,province
airport,island
airport,latitude
airport,longitude
airport,elevation
airport,gmtoffset
borders,country1
borders,country2
borders,length
city,name
city,country
city,province
city,population
city,latitude
city,longitude
city,elevation
citylocalname,city
citylocalname,country
citylocalname,province
citylocalname,localname
cityothername,city
cityothername,country
cityothername,province
cityothername,othername
citypops,city
citypops,country
citypops,province
citypops,year
citypops,population
continent,name
continent,area
country,name
country,code
country,capital
country,province
country,area
country,population
countrylocalname,country
countrylocalname,localname
countryothername,country
countryothername,othername
countrypops,country
countrypops,year
countrypops,population
desert,name
desert,area
desert,coordinates
economy,country
economy,gdp
economy,agriculture
economy,service
economy,industry
economy,inflation
economy,unemployment
encompasses,country
encompasses,continent
encompasses,percentage
ethnicgroup,country
ethnicgroup,name
ethnicgroup,percentage
geo_desert,desert
geo_desert,country
geo_desert,province
geo_estuary,river
geo_estuary,country
geo_estuary,province
geo_island,island
geo_island,country
geo_island,province
geo_lake,lake
geo_lake,country
geo_lake,province
geo_mountain,mountain
geo_mountain,country
geo_mountain,province
geo_river,river
geo_river,country
geo_river,province
geo_sea,sea
geo_sea,country
geo_sea,province
geo_source,river
geo_source,country
geo_source,province
island,name
island,islands
island,area
island,elevation
island,type
island,coordinates
islandin,island
islandin,sea
islandin,lake
islandin,river
ismember,country
ismember,organization
ismember,type
lake,name
lake,river
lake,area
lake,elevation
lake,depth
lake,height
lake,type
lake,coordinates
lakeonisland,lake
lakeonisland,island
language,name
language,superlanguage
located,city
located,province
located,country
located,river
located,lake
located,sea
locatedon,city
locatedon,province
locatedon,country
locatedon,island
mergeswith,sea1
mergeswith,sea2
mountain,name
mountain,mountains
mountain,elevation
mountain,type
mountain,coordinates
mountainonisland,mountain
mountainonisland,island
organization,abbreviation
organization,name
organization,city
organization,country
organization,province
organization,established
politics,country
politics,independence
politics,wasdependent
politics,dependent
politics,government
population,country
population,population_growth
population,infant_mortality
province,name
province,country
province,population
province,area
province,capital
province,capprov
provincelocalname,province
provincelocalname,country
provincelocalname,localname
provinceothername,province
provinceothername,country
provinceothername,othername
provpops,province
provpops,country
provpops,year
provpops,population
religion,country
religion,name
religion,percentage
river,name
river,river
river,lake
river,sea
river,length
river,area
river,source
river,mountains
river,sourceelevation
river,estuary
river,estuaryelevation
riveronisland,river
riveronisland,island
riverthrough,river
riverthrough,lake
sea,name
sea,area
sea,depth
spoken,country
spoken,language
spoken,percentage
